dataset,scenario,category,baseline_correct,baseline_total,baseline_accuracy,framework_correct,framework_total,framework_accuracy,improvement
doctor_visit_001.json,doctor_visit,person,1,3,0.3333333333333333,2,3,0.6666666666666666,0.3333333333333333
doctor_visit_001.json,doctor_visit,spatial,1,6,0.16666666666666666,2,6,0.3333333333333333,0.16666666666666666
doctor_visit_001.json,doctor_visit,temporal,0,4,0.0,0,4,0.0,0.0
doctor_visit_001.json,doctor_visit,object,1,4,0.25,1,4,0.25,0.0
doctor_visit_001.json,doctor_visit,person,0,1,0.0,0,1,0.0,0.0
doctor_visit_001.json,doctor_visit,spatial,0,4,0.0,0,4,0.0,0.0
doctor_visit_001.json,doctor_visit,temporal,0,0,0.0,0,0,0.0,0.0
doctor_visit_001.json,doctor_visit,object,0,0,0.0,0,0,0.0,0.0
doctor_visit_002.json,doctor_visit,person,1,7,0.14285714285714285,1,7,0.14285714285714285,0.0
doctor_visit_002.json,doctor_visit,spatial,1,5,0.2,1,5,0.2,0.0
doctor_visit_002.json,doctor_visit,temporal,0,3,0.0,0,3,0.0,0.0
doctor_visit_002.json,doctor_visit,object,0,7,0.0,0,7,0.0,0.0
doctor_visit_002.json,doctor_visit,person,1,7,0.14285714285714285,1,7,0.14285714285714285,0.0
doctor_visit_002.json,doctor_visit,spatial,0,5,0.0,0,5,0.0,0.0
doctor_visit_002.json,doctor_visit,temporal,0,2,0.0,0,2,0.0,0.0
doctor_visit_002.json,doctor_visit,object,0,6,0.0,0,6,0.0,0.0
doctor_visit_003.json,doctor_visit,person,0,4,0.0,0,4,0.0,0.0
doctor_visit_003.json,doctor_visit,spatial,1,6,0.16666666666666666,0,6,0.0,-0.16666666666666666
doctor_visit_003.json,doctor_visit,temporal,0,2,0.0,0,2,0.0,0.0
doctor_visit_003.json,doctor_visit,object,1,2,0.5,0,2,0.0,-0.5
doctor_visit_003.json,doctor_visit,person,0,7,0.0,0,7,0.0,0.0
doctor_visit_003.json,doctor_visit,spatial,1,2,0.5,0,2,0.0,-0.5
doctor_visit_003.json,doctor_visit,temporal,0,2,0.0,0,2,0.0,0.0
doctor_visit_003.json,doctor_visit,object,0,1,0.0,0,1,0.0,0.0
friends_meeting_001.json,friends_meeting,person,3,6,0.5,3,6,0.5,0.0
friends_meeting_001.json,friends_meeting,spatial,3,8,0.375,3,8,0.375,0.0
friends_meeting_001.json,friends_meeting,temporal,0,0,0.0,0,0,0.0,0.0
